Relative density,Number of polygonal cells,Mean of cell edge number,Variance of cell edge number,Skewness of cell edge number,Kurtosis of cell edge number,Mean of cell area,Variance of cell area,Skewness of cell area,Kurtosis of cell area,Mean of cell compactness,Variance of cell compactness,Skewness of cell compactness,Kurtosis of cell compactness,Mean of cell eccentricity,Variance of cell eccentricity,Skewness of cell eccentricity,Kurtosis of cell eccentricity,Mean of strut length,Variance of strut length,Skewness of strut length,Kurtosis of strut length,Mean of strut orientation,Variance of strut orientation,Skewness of strut orientation,Kurtosis of strut orientation,Mean of nodal connectivity,Variance of nodal connectivity,Skewness of nodal connectivity,Kurtosis of nodal connectivity,Mean of neighboring seed distance,Variance of neighboring seed distance,Skewness of neighboring seed distance,Kurtosis of neighboring seed distance,Mean of neighboring seed angle sine,Variance of neighboring seed angle sine,Skewness of neighboring seed angle sine,Kurtosis of neighboring seed angle sine,Mean of neighboring seed angle cosine,Variance of neighboring seed angle cosine,Skewness of neighboring seed angle cosine,Kurtosis of neighboring seed angle cosine,Relative stiffness
0.1,817,3.0441,0.064232,6.2522,43.645,0.0007915,1.21E-09,-0.49076,14.076,0.60571,7.27E-05,6.6273,50.496,0.86726,0.00059013,0.13777,3.2314,0.042077,2.15E-05,-7.4082,59.052,49.303,772.77,0.72529,1.5494,5.8254,0.39868,-3.8501,16.85,0.024292,5.40E-07,-4.717,30.34,0.0014872,0.023668,0.018172,2.9697,-0.00057134,0.022558,-0.069239,2.9136,0.035091
0.15,817,3.0441,0.064232,6.2522,43.645,0.0007915,1.21E-09,-0.49076,14.076,0.60571,7.27E-05,6.6273,50.496,0.86726,0.00059013,0.13777,3.2314,0.042077,2.15E-05,-7.4082,59.052,49.303,772.77,0.72529,1.5494,5.8254,0.39868,-3.8501,16.85,0.024292,5.40E-07,-4.717,30.34,0.0014872,0.023668,0.018172,2.9697,-0.00057134,0.022558,-0.069239,2.9136,0.053483
0.2,817,3.0441,0.064232,6.2522,43.645,0.0007915,1.21E-09,-0.49076,14.076,0.60571,7.27E-05,6.6273,50.496,0.86726,0.00059013,0.13777,3.2314,0.042077,2.15E-05,-7.4082,59.052,49.303,772.77,0.72529,1.5494,5.8254,0.39868,-3.8501,16.85,0.024292,5.40E-07,-4.717,30.34,0.0014872,0.023668,0.018172,2.9697,-0.00057134,0.022558,-0.069239,2.9136,0.07249
0.01,1170,3.2692,0.41419,2.8993,12.774,0.00055225,3.33E-09,0.54167,7.4886,0.61313,0.00054304,3.2205,15.361,0.8658,0.0013002,0.21763,3.5932,0.03253,7.04E-05,-2.8722,9.7062,48.985,768.42,0.66877,1.5959,5.1325,1.4288,-0.96804,2.2565,0.019611,1.26E-06,-1.6005,5.9136,0.00016606,0.023347,0.020705,3.1007,-0.00038491,0.023457,0.020591,2.8583,0.003053
0.05,1170,3.2692,0.41419,2.8993,12.774,0.00055225,3.33E-09,0.54167,7.4886,0.61313,0.00054304,3.2205,15.361,0.8658,0.0013002,0.21763,3.5932,0.03253,7.04E-05,-2.8722,9.7062,48.985,768.42,0.66877,1.5959,5.1325,1.4288,-0.96804,2.2565,0.019611,1.26E-06,-1.6005,5.9136,0.00016606,0.023347,0.020705,3.1007,-0.00038491,0.023457,0.020591,2.8583,0.015619
0.1,1170,3.2692,0.41419,2.8993,12.774,0.00055225,3.33E-09,0.54167,7.4886,0.61313,0.00054304,3.2205,15.361,0.8658,0.0013002,0.21763,3.5932,0.03253,7.04E-05,-2.8722,9.7062,48.985,768.42,0.66877,1.5959,5.1325,1.4288,-0.96804,2.2565,0.019611,1.26E-06,-1.6005,5.9136,0.00016606,0.023347,0.020705,3.1007,-0.00038491,0.023457,0.020591,2.8583,0.032228
0.15,1170,3.2692,0.41419,2.8993,12.774,0.00055225,3.33E-09,0.54167,7.4886,0.61313,0.00054304,3.2205,15.361,0.8658,0.0013002,0.21763,3.5932,0.03253,7.04E-05,-2.8722,9.7062,48.985,768.42,0.66877,1.5959,5.1325,1.4288,-0.96804,2.2565,0.019611,1.26E-06,-1.6005,5.9136,0.00016606,0.023347,0.020705,3.1007,-0.00038491,0.023457,0.020591,2.8583,0.049854
0.2,1170,3.2692,0.41419,2.8993,12.774,0.00055225,3.33E-09,0.54167,7.4886,0.61313,0.00054304,3.2205,15.361,0.8658,0.0013002,0.21763,3.5932,0.03253,7.04E-05,-2.8722,9.7062,48.985,768.42,0.66877,1.5959,5.1325,1.4288,-0.96804,2.2565,0.019611,1.26E-06,-1.6005,5.9136,0.00016606,0.023347,0.020705,3.1007,-0.00038491,0.023457,0.020591,2.8583,0.06839
0.01,817,3.6279,1.0697,1.9135,6.7627,0.00079087,1.81E-08,0.4492,4.7126,0.625,0.001345,2.0668,7.4544,0.86373,0.0018346,0.29393,3.0134,0.034683,0.00018111,-1.5936,3.7912,48.445,748.54,0.62035,1.684,4.4316,1.5589,0.039732,1.3694,0.022602,3.13E-06,-0.48296,3.6122,-0.0031155,0.02394,-0.044733,2.7763,0.0010844,0.023306,-0.042297,2.7548,0.0022852
0.05,817,3.6279,1.0697,1.9135,6.7627,0.00079087,1.81E-08,0.4492,4.7126,0.625,0.001345,2.0668,7.4544,0.86373,0.0018346,0.29393,3.0134,0.034683,0.00018111,-1.5936,3.7912,48.445,748.54,0.62035,1.684,4.4316,1.5589,0.039732,1.3694,0.022602,3.13E-06,-0.48296,3.6122,-0.0031155,0.02394,-0.044733,2.7763,0.0010844,0.023306,-0.042297,2.7548,0.012655
