Relative density,Number of polygonal cells,Mean of cell edge number,Variance of cell edge number,Skewness of cell edge number,Kurtosis of cell edge number,Mean of cell area,Variance of cell area,Skewness of cell area,Kurtosis of cell area,Mean of cell compactness,Variance of cell compactness,Skewness of cell compactness,Kurtosis of cell compactness,Mean of cell eccentricity,Variance of cell eccentricity,Skewness of cell eccentricity,Kurtosis of cell eccentricity,Mean of strut length,Variance of strut length,Skewness of strut length,Kurtosis of strut length,Mean of strut orientation,Variance of strut orientation,Skewness of strut orientation,Kurtosis of strut orientation,Mean of nodal connectivity,Variance of nodal connectivity,Skewness of nodal connectivity,Kurtosis of nodal connectivity,Mean of neighboring seed distance,Variance of neighboring seed distance,Skewness of neighboring seed distance,Kurtosis of neighboring seed distance,Mean of neighboring seed angle sine,Variance of neighboring seed angle sine,Skewness of neighboring seed angle sine,Kurtosis of neighboring seed angle sine,Mean of neighboring seed angle cosine,Variance of neighboring seed angle cosine,Skewness of neighboring seed angle cosine,Kurtosis of neighboring seed angle cosine,Relative stiffness
0.05,912,4,0,0,137.1,0.00070696,8.57E-15,-0.12396,2.7258,0.68017,2.58E-09,0.03453,3.5319,0.57738,2.51E-08,0.77905,3.7534,0.028571,2.14E-11,-0.21175,4.3867,40.056,799.19,-0.71146,1.5062,4.0045,2.0067,0.69997,1.49,0.024742,1.69E-12,-0.034742,2.8777,0.0065526,0.021916,-0.045526,2.8513,0.0030625,0.015661,0.31073,4.6385,0.00024378
0.1,912,4,0,0,137.1,0.00070696,8.57E-15,-0.12396,2.7258,0.68017,2.58E-09,0.03453,3.5319,0.57738,2.51E-08,0.77905,3.7534,0.028571,2.14E-11,-0.21175,4.3867,40.056,799.19,-0.71146,1.5062,4.0045,2.0067,0.69997,1.49,0.024742,1.69E-12,-0.034742,2.8777,0.0065526,0.021916,-0.045526,2.8513,0.0030625,0.015661,0.31073,4.6385,0.00097515
0.15,912,4,0,0,137.1,0.00070696,8.57E-15,-0.12396,2.7258,0.68017,2.58E-09,0.03453,3.5319,0.57738,2.51E-08,0.77905,3.7534,0.028571,2.14E-11,-0.21175,4.3867,40.056,799.19,-0.71146,1.5062,4.0045,2.0067,0.69997,1.49,0.024742,1.69E-12,-0.034742,2.8777,0.0065526,0.021916,-0.045526,2.8513,0.0030625,0.015661,0.31073,4.6385,0.0026773
0.2,912,4,0,0,137.1,0.00070696,8.57E-15,-0.12396,2.7258,0.68017,2.58E-09,0.03453,3.5319,0.57738,2.51E-08,0.77905,3.7534,0.028571,2.14E-11,-0.21175,4.3867,40.056,799.19,-0.71146,1.5062,4.0045,2.0067,0.69997,1.49,0.024742,1.69E-12,-0.034742,2.8777,0.0065526,0.021916,-0.045526,2.8513,0.0030625,0.015661,0.31073,4.6385,0.0058071
0.01,1340,4.009,0.0088817,10.425,109.68,0.00046838,5.42E-10,0.017407,4.1226,0.67961,0.00019303,0.51732,3.3009,0.57462,0.00091426,0.56281,2.8414,0.023212,1.37E-06,-10.257,174.55,39.947,781.88,-0.65821,1.4465,3.9913,1.984,0.71937,1.5219,0.019863,5.74E-08,-1.8525,10.885,0.0025776,0.013932,0.10844,3.3776,-0.00029476,0.014529,-0.0188,3.3596,1.53E-05
0.05,1340,4.009,0.0088817,10.425,109.68,0.00046838,5.42E-10,0.017407,4.1226,0.67961,0.00019303,0.51732,3.3009,0.57462,0.00091426,0.56281,2.8414,0.023212,1.37E-06,-10.257,174.55,39.947,781.88,-0.65821,1.4465,3.9913,1.984,0.71937,1.5219,0.019863,5.74E-08,-1.8525,10.885,0.0025776,0.013932,0.10844,3.3776,-0.00029476,0.014529,-0.0188,3.3596,0.00018791
0.1,1340,4.009,0.0088817,10.425,109.68,0.00046838,5.42E-10,0.017407,4.1226,0.67961,0.00019303,0.51732,3.3009,0.57462,0.00091426,0.56281,2.8414,0.023212,1.37E-06,-10.257,174.55,39.947,781.88,-0.65821,1.4465,3.9913,1.984,0.71937,1.5219,0.019863,5.74E-08,-1.8525,10.885,0.0025776,0.013932,0.10844,3.3776,-0.00029476,0.014529,-0.0188,3.3596,0.00087407
0.15,1340,4.009,0.0088817,10.425,109.68,0.00046838,5.42E-10,0.017407,4.1226,0.67961,0.00019303,0.51732,3.3009,0.57462,0.00091426,0.56281,2.8414,0.023212,1.37E-06,-10.257,174.55,39.947,781.88,-0.65821,1.4465,3.9913,1.984,0.71937,1.5219,0.019863,5.74E-08,-1.8525,10.885,0.0025776,0.013932,0.10844,3.3776,-0.00029476,0.014529,-0.0188,3.3596,0.0025351
0.2,1340,4.009,0.0088817,10.425,109.68,0.00046838,5.42E-10,0.017407,4.1226,0.67961,0.00019303,0.51732,3.3009,0.57462,0.00091426,0.56281,2.8414,0.023212,1.37E-06,-10.257,174.55,39.947,781.88,-0.65821,1.4465,3.9913,1.984,0.71937,1.5219,0.019863,5.74E-08,-1.8525,10.885,0.0025776,0.013932,0.10844,3.3776,-0.00029476,0.014529,-0.0188,3.3596,0.0056317
0.01,1423,4.3197,0.41316,2.6726,13.569,0.00044376,3.95E-09,0.82738,5.6881,0.6897,0.00085126,1.2792,5.3722,0.5745,0.0022422,0.49638,3.0098,0.020781,2.52E-05,-2.7604,9.7545,41.075,756.55,-0.66635,1.6073,3.7318,1.3872,1.1605,2.5717,0.0186,4.86E-07,-0.43448,3.3054,-0.0014655,0.015048,0.069508,3.1368,0.00074495,0.01472,0.0049235,2.9736,1.32E-06
0.05,1423,4.3197,0.41316,2.6726,13.569,0.00044376,3.95E-09,0.82738,5.6881,0.6897,0.00085126,1.2792,5.3722,0.5745,0.0022422,0.49638,3.0098,0.020781,2.52E-05,-2.7604,9.7545,41.075,756.55,-0.66635,1.6073,3.7318,1.3872,1.1605,2.5717,0.0186,4.86E-07,-0.43448,3.3054,-0.0014655,0.015048,0.069508,3.1368,0.00074495,0.01472,0.0049235,2.9736,0.00012883
0.1,1423,4.3197,0.41316,2.6726,13.569,0.00044376,3.95E-09,0.82738,5.6881,0.6897,0.00085126,1.2792,5.3722,0.5745,0.0022422,0.49638,3.0098,0.020781,2.52E-05,-2.7604,9.7545,41.075,756.55,-0.66635,1.6073,3.7318,1.3872,1.1605,2.5717,0.0186,4.86E-07,-0.43448,3.3054,-0.0014655,0.015048,0.069508,3.1368,0.00074495,0.01472,0.0049235,2.9736,0.00083408
0.15,1423,4.3197,0.41316,2.6726,13.569,0.00044376,3.95E-09,0.82738,5.6881,0.6897,0.00085126,1.2792,5.3722,0.5745,0.0022422,0.49638,3.0098,0.020781,2.52E-05,-2.7604,9.7545,41.075,756.55,-0.66635,1.6073,3.7318,1.3872,1.1605,2.5717,0.0186,4.86E-07,-0.43448,3.3054,-0.0014655,0.015048,0.069508,3.1368,0.00074495,0.01472,0.0049235,2.9736,0.0025595
0.2,1423,4.3197,0.41316,2.6726,13.569,0.00044376,3.95E-09,0.82738,5.6881,0.6897,0.00085126,1.2792,5.3722,0.5745,0.0022422,0.49638,3.0098,0.020781,2.52E-05,-2.7604,9.7545,41.075,756.55,-0.66635,1.6073,3.7318,1.3872,1.1605,2.5717,0.0186,4.86E-07,-0.43448,3.3054,-0.0014655,0.015048,0.069508,3.1368,0.00074495,0.01472,0.0049235,2.9736,0.0057599
0.01,695,4.6906,0.94595,1.4307,4.4786,0.00088897,4.31E-08,0.60512,3.5021,0.70443,0.0017997,1.0546,3.567,0.57722,0.0035575,0.44542,3.1449,0.026664,8.28E-05,-1.532,4.1313,41.928,774.45,-0.58799,1.7416,3.4823,0.82803,1.7212,4.6076,0.025605,1.92E-06,-0.12727,3.239,0.0011217,0.013389,0.080364,3.4588,-0.00016132,0.013793,-0.061257,3.2391,1.00E-06
0.05,695,4.6906,0.94595,1.4307,4.4786,0.00088897,4.31E-08,0.60512,3.5021,0.70443,0.0017997,1.0546,3.567,0.57722,0.0035575,0.44542,3.1449,0.026664,8.28E-05,-1.532,4.1313,41.928,774.45,-0.58799,1.7416,3.4823,0.82803,1.7212,4.6076,0.025605,1.92E-06,-0.12727,3.239,0.0011217,0.013389,0.080364,3.4588,-0.00016132,0.013793,-0.061257,3.2391,0.00012196
0.1,695,4.6906,0.94595,1.4307,4.4786,0.00088897,4.31E-08,0.60512,3.5021,0.70443,0.0017997,1.0546,3.567,0.57722,0.0035575,0.44542,3.1449,0.026664,8.28E-05,-1.532,4.1313,41.928,774.45,-0.58799,1.7416,3.4823,0.82803,1.7212,4.6076,0.025605,1.92E-06,-0.12727,3.239,0.0011217,0.013389,0.080364,3.4588,-0.00016132,0.013793,-0.061257,3.2391,0.00090986
0.15,695,4.6906,0.94595,1.4307,4.4786,0.00088897,4.31E-08,0.60512,3.5021,0.70443,0.0017997,1.0546,3.567,0.57722,0.0035575,0.44542,3.1449,0.026664,8.28E-05,-1.532,4.1313,41.928,774.45,-0.58799,1.7416,3.4823,0.82803,1.7212,4.6076,0.025605,1.92E-06,-0.12727,3.239,0.0011217,0.013389,0.080364,3.4588,-0.00016132,0.013793,-0.061257,3.2391,0.0028842
0.2,695,4.6906,0.94595,1.4307,4.4786,0.00088897,4.31E-08,0.60512,3.5021,0.70443,0.0017997,1.0546,3.567,0.57722,0.0035575,0.44542,3.1449,0.026664,8.28E-05,-1.532,4.1313,41.928,774.45,-0.58799,1.7416,3.4823,0.82803,1.7212,4.6076,0.025605,1.92E-06,-0.12727,3.239,0.0011217,0.013389,0.080364,3.4588,-0.00016132,0.013793,-0.061257,3.2391,0.0064939
0.01,748,4.9532,1.2254,1.0642,3.409,0.00084205,7.20E-08,0.88404,4.0874,0.71528,0.002557,0.76799,3.1709,0.57566,0.0056466,0.23695,3.4239,0.024309,8.67E-05,-1.0404,2.9564,42.354,784.24,-0.53994,1.7924,3.3498,0.51159,2.0341,6.2583,0.024412,3.16E-06,0.23969,3.0969,-0.0013732,0.011574,-0.10548,3.3559,0.0010301,0.011701,-0.071941,3.1252,1.00E-06
0.05,748,4.9532,1.2254,1.0642,3.409,0.00084205,7.20E-08,0.88404,4.0874,0.71528,0.002557,0.76799,3.1709,0.57566,0.0056466,0.23695,3.4239,0.024309,8.67E-05,-1.0404,2.9564,42.354,784.24,-0.53994,1.7924,3.3498,0.51159,2.0341,6.2583,0.024412,3.16E-06,0.23969,3.0969,-0.0013732,0.011574,-0.10548,3.3559,0.0010301,0.011701,-0.071941,3.1252,0.00012446
0.1,748,4.9532,1.2254,1.0642,3.409,0.00084205,7.20E-08,0.88404,4.0874,0.71528,0.002557,0.76799,3.1709,0.57566,0.0056466,0.23695,3.4239,0.024309,8.67E-05,-1.0404,2.9564,42.354,784.24,-0.53994,1.7924,3.3498,0.51159,2.0341,6.2583,0.024412,3.16E-06,0.23969,3.0969,-0.0013732,0.011574,-0.10548,3.3559,0.0010301,0.011701,-0.071941,3.1252,0.00095751
0.15,748,4.9532,1.2254,1.0642,3.409,0.00084205,7.20E-08,0.88404,4.0874,0.71528,0.002557,0.76799,3.1709,0.57566,0.0056466,0.23695,3.4239,0.024309,8.67E-05,-1.0404,2.9564,42.354,784.24,-0.53994,1.7924,3.3498,0.51159,2.0341,6.2583,0.024412,3.16E-06,0.23969,3.0969,-0.0013732,0.011574,-0.10548,3.3559,0.0010301,0.011701,-0.071941,3.1252,0.003092
0.2,748,4.9532,1.2254,1.0642,3.409,0.00084205,7.20E-08,0.88404,4.0874,0.71528,0.002557,0.76799,3.1709,0.57566,0.0056466,0.23695,3.4239,0.024309,8.67E-05,-1.0404,2.9564,42.354,784.24,-0.53994,1.7924,3.3498,0.51159,2.0341,6.2583,0.024412,3.16E-06,0.23969,3.0969,-0.0013732,0.011574,-0.10548,3.3559,0.0010301,0.011701,-0.071941,3.1252,0.0070256
0.01,1435,5.0836,0.70848,0.45187,2.8724,0.00043753,1.70E-09,0.16178,2.8764,0.73263,0.0011366,0.02488,2.828,0.66371,0.009685,0.68228,3.1394,0.017091,4.59E-05,-1.0733,2.7349,43.267,698.23,-0.36473,1.7723,3.2985,0.42625,2.2752,7.5937,0.018145,1.89E-06,0.58605,3.0824,-0.00017618,0.010671,0.032525,3.0175,-0.00042738,0.010976,-0.012741,3.0441,1.03E-06
0.05,1435,5.0836,0.70848,0.45187,2.8724,0.00043753,1.70E-09,0.16178,2.8764,0.73263,0.0011366,0.02488,2.828,0.66371,0.009685,0.68228,3.1394,0.017091,4.59E-05,-1.0733,2.7349,43.267,698.23,-0.36473,1.7723,3.2985,0.42625,2.2752,7.5937,0.018145,1.89E-06,0.58605,3.0824,-0.00017618,0.010671,0.032525,3.0175,-0.00042738,0.010976,-0.012741,3.0441,0.00012937
0.1,1435,5.0836,0.70848,0.45187,2.8724,0.00043753,1.70E-09,0.16178,2.8764,0.73263,0.0011366,0.02488,2.828,0.66371,0.009685,0.68228,3.1394,0.017091,4.59E-05,-1.0733,2.7349,43.267,698.23,-0.36473,1.7723,3.2985,0.42625,2.2752,7.5937,0.018145,1.89E-06,0.58605,3.0824,-0.00017618,0.010671,0.032525,3.0175,-0.00042738,0.010976,-0.012741,3.0441,0.0010192
0.15,1435,5.0836,0.70848,0.45187,2.8724,0.00043753,1.70E-09,0.16178,2.8764,0.73263,0.0011366,0.02488,2.828,0.66371,0.009685,0.68228,3.1394,0.017091,4.59E-05,-1.0733,2.7349,43.267,698.23,-0.36473,1.7723,3.2985,0.42625,2.2752,7.5937,0.018145,1.89E-06,0.58605,3.0824,-0.00017618,0.010671,0.032525,3.0175,-0.00042738,0.010976,-0.012741,3.0441,0.0033323
0.2,1435,5.0836,0.70848,0.45187,2.8724,0.00043753,1.70E-09,0.16178,2.8764,0.73263,0.0011366,0.02488,2.828,0.66371,0.009685,0.68228,3.1394,0.017091,4.59E-05,-1.0733,2.7349,43.267,698.23,-0.36473,1.7723,3.2985,0.42625,2.2752,7.5937,0.018145,1.89E-06,0.58605,3.0824,-0.00017618,0.010671,0.032525,3.0175,-0.00042738,0.010976,-0.012741,3.0441,0.007583
0.01,682,5.132,0.7109,0.27647,2.4492,0.00093128,1.40E-08,0.054661,2.8219,0.73611,0.0014087,-0.06266,3.1148,0.6648,0.011312,0.72095,3.1776,0.024649,9.64E-05,-1.0211,2.6656,43.458,705.34,-0.37527,1.7761,3.281,0.39477,2.3714,8.217,0.02655,4.59E-06,0.47503,3.0411,-0.00061091,0.010605,-0.09972,2.9957,0.00036493,0.009549,0.075767,2.9484,1.09E-06
0.05,682,5.132,0.7109,0.27647,2.4492,0.00093128,1.40E-08,0.054661,2.8219,0.73611,0.0014087,-0.06266,3.1148,0.6648,0.011312,0.72095,3.1776,0.024649,9.64E-05,-1.0211,2.6656,43.458,705.34,-0.37527,1.7761,3.281,0.39477,2.3714,8.217,0.02655,4.59E-06,0.47503,3.0411,-0.00061091,0.010605,-0.09972,2.9957,0.00036493,0.009549,0.075767,2.9484,0.00013714
0.1,682,5.132,0.7109,0.27647,2.4492,0.00093128,1.40E-08,0.054661,2.8219,0.73611,0.0014087,-0.06266,3.1148,0.6648,0.011312,0.72095,3.1776,0.024649,9.64E-05,-1.0211,2.6656,43.458,705.34,-0.37527,1.7761,3.281,0.39477,2.3714,8.217,0.02655,4.59E-06,0.47503,3.0411,-0.00061091,0.010605,-0.09972,2.9957,0.00036493,0.009549,0.075767,2.9484,0.0010725
0.15,682,5.132,0.7109,0.27647,2.4492,0.00093128,1.40E-08,0.054661,2.8219,0.73611,0.0014087,-0.06266,3.1148,0.6648,0.011312,0.72095,3.1776,0.024649,9.64E-05,-1.0211,2.6656,43.458,705.34,-0.37527,1.7761,3.281,0.39477,2.3714,8.217,0.02655,4.59E-06,0.47503,3.0411,-0.00061091,0.010605,-0.09972,2.9957,0.00036493,0.009549,0.075767,2.9484,0.003478
0.2,682,5.132,0.7109,0.27647,2.4492,0.00093128,1.40E-08,0.054661,2.8219,0.73611,0.0014087,-0.06266,3.1148,0.6648,0.011312,0.72095,3.1776,0.024649,9.64E-05,-1.0211,2.6656,43.458,705.34,-0.37527,1.7761,3.281,0.39477,2.3714,8.217,0.02655,4.59E-06,0.47503,3.0411,-0.00061091,0.010605,-0.09972,2.9957,0.00036493,0.009549,0.075767,2.9484,0.007855
0.01,836,5.1782,0.86999,0.58751,3.2033,0.00077258,2.13E-08,0.42082,3.3244,0.73555,0.0017699,0.023782,2.8878,0.66326,0.012377,0.53465,2.8845,0.022247,8.20E-05,-0.90822,2.5058,43.351,701.23,-0.34655,1.7904,3.2608,0.35682,2.4167,8.4567,0.023877,3.94E-06,0.51421,2.9992,-0.0010345,0.0099121,-0.21946,3.1497,-0.001355,0.0092309,-0.022061,2.9623,1.12E-06
0.05,836,5.1782,0.86999,0.58751,3.2033,0.00077258,2.13E-08,0.42082,3.3244,0.73555,0.0017699,0.023782,2.8878,0.66326,0.012377,0.53465,2.8845,0.022247,8.20E-05,-0.90822,2.5058,43.351,701.23,-0.34655,1.7904,3.2608,0.35682,2.4167,8.4567,0.023877,3.94E-06,0.51421,2.9992,-0.0010345,0.0099121,-0.21946,3.1497,-0.001355,0.0092309,-0.022061,2.9623,0.00014084
0.1,836,5.1782,0.86999,0.58751,3.2033,0.00077258,2.13E-08,0.42082,3.3244,0.73555,0.0017699,0.023782,2.8878,0.66326,0.012377,0.53465,2.8845,0.022247,8.20E-05,-0.90822,2.5058,43.351,701.23,-0.34655,1.7904,3.2608,0.35682,2.4167,8.4567,0.023877,3.94E-06,0.51421,2.9992,-0.0010345,0.0099121,-0.21946,3.1497,-0.001355,0.0092309,-0.022061,2.9623,0.0011063
0.15,836,5.1782,0.86999,0.58751,3.2033,0.00077258,2.13E-08,0.42082,3.3244,0.73555,0.0017699,0.023782,2.8878,0.66326,0.012377,0.53465,2.8845,0.022247,8.20E-05,-0.90822,2.5058,43.351,701.23,-0.34655,1.7904,3.2608,0.35682,2.4167,8.4567,0.023877,3.94E-06,0.51421,2.9992,-0.0010345,0.0099121,-0.21946,3.1497,-0.001355,0.0092309,-0.022061,2.9623,0.0035932
0.2,836,5.1782,0.86999,0.58751,3.2033,0.00077258,2.13E-08,0.42082,3.3244,0.73555,0.0017699,0.023782,2.8878,0.66326,0.012377,0.53465,2.8845,0.022247,8.20E-05,-0.90822,2.5058,43.351,701.23,-0.34655,1.7904,3.2608,0.35682,2.4167,8.4567,0.023877,3.94E-06,0.51421,2.9992,-0.0010345,0.0099121,-0.21946,3.1497,-0.001355,0.0092309,-0.022061,2.9623,0.008108
0.01,856,5.2185,1.0879,0.59456,2.8326,0.00074884,4.28E-08,0.51806,3.1472,0.73573,0.0029722,-0.37643,3.2963,0.65317,0.015254,0.36459,2.8793,0.02149,8.17E-05,-0.68618,2.2886,43.572,708.71,-0.36483,1.7974,3.2512,0.36062,2.5765,9.3757,0.023244,4.17E-06,0.28839,2.8824,-5.21E-07,0.0097104,0.027632,3.3865,0.0001072,0.0094568,-0.055772,2.9702,1.18E-06
0.05,856,5.2185,1.0879,0.59456,2.8326,0.00074884,4.28E-08,0.51806,3.1472,0.73573,0.0029722,-0.37643,3.2963,0.65317,0.015254,0.36459,2.8793,0.02149,8.17E-05,-0.68618,2.2886,43.572,708.71,-0.36483,1.7974,3.2512,0.36062,2.5765,9.3757,0.023244,4.17E-06,0.28839,2.8824,-5.21E-07,0.0097104,0.027632,3.3865,0.0001072,0.0094568,-0.055772,2.9702,0.00014844
0.1,856,5.2185,1.0879,0.59456,2.8326,0.00074884,4.28E-08,0.51806,3.1472,0.73573,0.0029722,-0.37643,3.2963,0.65317,0.015254,0.36459,2.8793,0.02149,8.17E-05,-0.68618,2.2886,43.572,708.71,-0.36483,1.7974,3.2512,0.36062,2.5765,9.3757,0.023244,4.17E-06,0.28839,2.8824,-5.21E-07,0.0097104,0.027632,3.3865,0.0001072,0.0094568,-0.055772,2.9702,0.0011677
0.15,856,5.2185,1.0879,0.59456,2.8326,0.00074884,4.28E-08,0.51806,3.1472,0.73573,0.0029722,-0.37643,3.2963,0.65317,0.015254,0.36459,2.8793,0.02149,8.17E-05,-0.68618,2.2886,43.572,708.71,-0.36483,1.7974,3.2512,0.36062,2.5765,9.3757,0.023244,4.17E-06,0.28839,2.8824,-5.21E-07,0.0097104,0.027632,3.3865,0.0001072,0.0094568,-0.055772,2.9702,0.0037983
0.2,856,5.2185,1.0879,0.59456,2.8326,0.00074884,4.28E-08,0.51806,3.1472,0.73573,0.0029722,-0.37643,3.2963,0.65317,0.015254,0.36459,2.8793,0.02149,8.17E-05,-0.68618,2.2886,43.572,708.71,-0.36483,1.7974,3.2512,0.36062,2.5765,9.3757,0.023244,4.17E-06,0.28839,2.8824,-5.21E-07,0.0097104,0.027632,3.3865,0.0001072,0.0094568,-0.055772,2.9702,0.0085797
0.01,698,5.3567,1.1681,0.57997,2.955,0.00090016,9.75E-08,0.80845,4.3029,0.74349,0.0041017,-0.63467,4.5642,0.66559,0.019072,0.091016,2.4473,0.022717,9.96E-05,-0.41367,2.1158,43.563,685.13,-0.29728,1.7815,3.1964,0.24217,2.7178,10.631,0.025248,6.69E-06,0.23676,2.867,-0.00087974,0.008212,-0.018815,2.8663,0.0020125,0.0090883,-0.044589,2.9052,1.23E-06
0.05,698,5.3567,1.1681,0.57997,2.955,0.00090016,9.75E-08,0.80845,4.3029,0.74349,0.0041017,-0.63467,4.5642,0.66559,0.019072,0.091016,2.4473,0.022717,9.96E-05,-0.41367,2.1158,43.563,685.13,-0.29728,1.7815,3.1964,0.24217,2.7178,10.631,0.025248,6.69E-06,0.23676,2.867,-0.00087974,0.008212,-0.018815,2.8663,0.0020125,0.0090883,-0.044589,2.9052,0.00015525
0.1,698,5.3567,1.1681,0.57997,2.955,0.00090016,9.75E-08,0.80845,4.3029,0.74349,0.0041017,-0.63467,4.5642,0.66559,0.019072,0.091016,2.4473,0.022717,9.96E-05,-0.41367,2.1158,43.563,685.13,-0.29728,1.7815,3.1964,0.24217,2.7178,10.631,0.025248,6.69E-06,0.23676,2.867,-0.00087974,0.008212,-0.018815,2.8663,0.0020125,0.0090883,-0.044589,2.9052,0.0012262
0.15,698,5.3567,1.1681,0.57997,2.955,0.00090016,9.75E-08,0.80845,4.3029,0.74349,0.0041017,-0.63467,4.5642,0.66559,0.019072,0.091016,2.4473,0.022717,9.96E-05,-0.41367,2.1158,43.563,685.13,-0.29728,1.7815,3.1964,0.24217,2.7178,10.631,0.025248,6.69E-06,0.23676,2.867,-0.00087974,0.008212,-0.018815,2.8663,0.0020125,0.0090883,-0.044589,2.9052,0.0039889
0.2,698,5.3567,1.1681,0.57997,2.955,0.00090016,9.75E-08,0.80845,4.3029,0.74349,0.0041017,-0.63467,4.5642,0.66559,0.019072,0.091016,2.4473,0.022717,9.96E-05,-0.41367,2.1158,43.563,685.13,-0.29728,1.7815,3.1964,0.24217,2.7178,10.631,0.025248,6.69E-06,0.23676,2.867,-0.00087974,0.008212,-0.018815,2.8663,0.0020125,0.0090883,-0.044589,2.9052,0.0089703
0.01,1226,5.5489,0.95475,0.22773,2.7228,0.00052289,9.83E-09,0.0069953,3.077,0.76233,0.0035074,-0.74895,4.2161,0.71079,0.023244,-0.003203,2.101,0.0167,6.11E-05,-0.031767,2.1001,44.644,668.23,-0.048644,1.8247,3.1271,0.14211,3.2202,14.494,0.019597,5.46E-06,-0.036052,2.921,7.56E-05,0.0070863,-0.14879,2.9663,-0.00015181,0.0071276,-0.092551,2.8733,2.14E-06
0.05,1226,5.5489,0.95475,0.22773,2.7228,0.00052289,9.83E-09,0.0069953,3.077,0.76233,0.0035074,-0.74895,4.2161,0.71079,0.023244,-0.003203,2.101,0.0167,6.11E-05,-0.031767,2.1001,44.644,668.23,-0.048644,1.8247,3.1271,0.14211,3.2202,14.494,0.019597,5.46E-06,-0.036052,2.921,7.56E-05,0.0070863,-0.14879,2.9663,-0.00015181,0.0071276,-0.092551,2.8733,0.00026706
0.1,1226,5.5489,0.95475,0.22773,2.7228,0.00052289,9.83E-09,0.0069953,3.077,0.76233,0.0035074,-0.74895,4.2161,0.71079,0.023244,-0.003203,2.101,0.0167,6.11E-05,-0.031767,2.1001,44.644,668.23,-0.048644,1.8247,3.1271,0.14211,3.2202,14.494,0.019597,5.46E-06,-0.036052,2.921,7.56E-05,0.0070863,-0.14879,2.9663,-0.00015181,0.0071276,-0.092551,2.8733,0.0020403
0.15,1226,5.5489,0.95475,0.22773,2.7228,0.00052289,9.83E-09,0.0069953,3.077,0.76233,0.0035074,-0.74895,4.2161,0.71079,0.023244,-0.003203,2.101,0.0167,6.11E-05,-0.031767,2.1001,44.644,668.23,-0.048644,1.8247,3.1271,0.14211,3.2202,14.494,0.019597,5.46E-06,-0.036052,2.921,7.56E-05,0.0070863,-0.14879,2.9663,-0.00015181,0.0071276,-0.092551,2.8733,0.0063461
0.2,1226,5.5489,0.95475,0.22773,2.7228,0.00052289,9.83E-09,0.0069953,3.077,0.76233,0.0035074,-0.74895,4.2161,0.71079,0.023244,-0.003203,2.101,0.0167,6.11E-05,-0.031767,2.1001,44.644,668.23,-0.048644,1.8247,3.1271,0.14211,3.2202,14.494,0.019597,5.46E-06,-0.036052,2.921,7.56E-05,0.0070863,-0.14879,2.9663,-0.00015181,0.0071276,-0.092551,2.8733,0.01358
0.01,674,5.5119,1.0704,0.34687,3.0146,0.00094507,4.06E-08,0.020997,2.8999,0.76124,0.0038518,-0.71199,3.9124,0.70971,0.021292,0.031524,2.1703,0.022708,0.00011146,-0.029332,2.2464,44.842,682.71,-0.054654,1.8087,3.1364,0.15662,3.0857,12.892,0.02631,1.02E-05,-0.11759,3.1126,0.00059509,0.0079506,-0.060133,2.7406,-6.78E-06,0.0069677,-0.06796,3.0994,1.90E-06
0.05,674,5.5119,1.0704,0.34687,3.0146,0.00094507,4.06E-08,0.020997,2.8999,0.76124,0.0038518,-0.71199,3.9124,0.70971,0.021292,0.031524,2.1703,0.022708,0.00011146,-0.029332,2.2464,44.842,682.71,-0.054654,1.8087,3.1364,0.15662,3.0857,12.892,0.02631,1.02E-05,-0.11759,3.1126,0.00059509,0.0079506,-0.060133,2.7406,-6.78E-06,0.0069677,-0.06796,3.0994,0.00023874
0.1,674,5.5119,1.0704,0.34687,3.0146,0.00094507,4.06E-08,0.020997,2.8999,0.76124,0.0038518,-0.71199,3.9124,0.70971,0.021292,0.031524,2.1703,0.022708,0.00011146,-0.029332,2.2464,44.842,682.71,-0.054654,1.8087,3.1364,0.15662,3.0857,12.892,0.02631,1.02E-05,-0.11759,3.1126,0.00059509,0.0079506,-0.060133,2.7406,-6.78E-06,0.0069677,-0.06796,3.0994,0.0018416
0.15,674,5.5119,1.0704,0.34687,3.0146,0.00094507,4.06E-08,0.020997,2.8999,0.76124,0.0038518,-0.71199,3.9124,0.70971,0.021292,0.031524,2.1703,0.022708,0.00011146,-0.029332,2.2464,44.842,682.71,-0.054654,1.8087,3.1364,0.15662,3.0857,12.892,0.02631,1.02E-05,-0.11759,3.1126,0.00059509,0.0079506,-0.060133,2.7406,-6.78E-06,0.0069677,-0.06796,3.0994,0.0057978
0.2,674,5.5119,1.0704,0.34687,3.0146,0.00094507,4.06E-08,0.020997,2.8999,0.76124,0.0038518,-0.71199,3.9124,0.70971,0.021292,0.031524,2.1703,0.022708,0.00011146,-0.029332,2.2464,44.842,682.71,-0.054654,1.8087,3.1364,0.15662,3.0857,12.892,0.02631,1.02E-05,-0.11759,3.1126,0.00059509,0.0079506,-0.060133,2.7406,-6.78E-06,0.0069677,-0.06796,3.0994,0.012566
