401, 555, 327
402, 327, 84
403, 343, 327
404, 84, 78
405, 78, 83
406, 100, 84
407, 83, 330
408, 93, 83
409, 330, 81
410, 344, 330
411, 81, 75
412, 75, 80
413, 98, 81
414, 80, 333
415, 94, 80
416, 333, 86
417, 345, 333
418, 86, 76
419, 76, 89
420, 99, 86
421, 89, 336
422, 91, 89
423, 336, 85
424, 346, 336
425, 85, 77
426, 77, 82
427, 101, 85
428, 82, 339
429, 92, 82
430, 339, 87
431, 347, 339
432, 87, 73
433, 73, 88
434, 102, 87
435, 88, 342
436, 95, 88
437, 342, 79
438, 348, 342
439, 79, 74
440, 74, 90
441, 97, 79
442, 90, 556
443, 96, 90
444, 557, 343
445, 343, 100
446, 93, 344
447, 344, 98
448, 94, 345
449, 345, 99
450, 91, 346
451, 346, 101
452, 92, 347
453, 347, 102
454, 95, 348
455, 348, 97
456, 96, 558
457, 349, 343
458, 343, 350
459, 351, 344
460, 344, 352
461, 353, 345
462, 345, 354
463, 355, 346
464, 346, 356
465, 357, 347
466, 347, 358
467, 359, 348
468, 348, 360
469, 559, 349
470, 100, 104
471, 350, 100
472, 104, 93
473, 93, 351
474, 98, 106
475, 352, 98
476, 106, 94
477, 94, 353
478, 99, 107
479, 354, 99
480, 107, 91
481, 91, 355
482, 101, 103
483, 356, 101
484, 103, 92
485, 92, 357
486, 102, 108
487, 358, 102
488, 108, 95
489, 95, 359
490, 97, 105
491, 360, 97
492, 105, 96
493, 96, 624
494, 361, 104
495, 104, 362
496, 364, 106
497, 106, 365
498, 367, 107
499, 107, 368
500, 370, 103
501, 103, 371
502, 373, 108
503, 108, 374
504, 376, 105
505, 105, 377
506, 349, 350
507, 351, 352
508, 353, 354
509, 355, 356
510, 357, 358
511, 359, 360
512, 560, 349
513, 349, 113
514, 350, 361
515, 113, 350
516, 362, 351
517, 351, 114
518, 352, 364
519, 114, 352
520, 365, 353
521, 353, 112
522, 354, 367
523, 112, 354
524, 368, 355
525, 355, 110
526, 356, 370
527, 110, 356
528, 371, 357
529, 357, 111
530, 358, 373
531, 111, 358
532, 374, 359
533, 359, 109
534, 360, 376
535, 109, 360
536, 377, 624
537, 361, 362
538, 364, 365
539, 367, 368
540, 370, 371
541, 373, 374
542, 376, 377
543, 118, 361
544, 361, 363
545, 362, 119
546, 363, 362
547, 117, 364
548, 364, 366
549, 365, 120
550, 366, 365
551, 121, 367
552, 367, 369
553, 368, 122
554, 369, 368
555, 123, 370
556, 370, 372
557, 371, 125
558, 372, 371
559, 124, 373
560, 373, 375
561, 374, 115
562, 375, 374
563, 116, 376
564, 376, 378
565, 377, 126
566, 378, 377
567, 561, 113
568, 113, 118
569, 118, 363
570, 136, 118
571, 363, 119
572, 379, 363
573, 119, 114
574, 114, 117
575, 129, 119
576, 117, 366
577, 135, 117
578, 366, 120
579, 380, 366
580, 120, 112
581, 112, 121
582, 130, 120
583, 121, 369
584, 137, 121
585, 369, 122
586, 381, 369
587, 122, 110
588, 110, 123
589, 128, 122
590, 123, 372
591, 138, 123
592, 372, 125
593, 382, 372
594, 125, 111
595, 111, 124
596, 127, 125
597, 124, 375
598, 134, 124
599, 375, 115
600, 383, 375
601, 115, 109
602, 109, 116
603, 131, 115
604, 116, 378
605, 133, 116
