1, 1264, 13
2, 32, 1265
3, 10, 18
4, 15, 10
5, 10, 1266
6, 21, 1267
7, 4, 1268
8, 20, 1269
9, 1270, 3
10, 29, 1389
11, 7, 1271
12, 14, 1272
13, 1391, 16
14, 1273, 1
15, 5, 1274
16, 23, 15
17, 15, 1388
18, 1275, 8
19, 1178, 1276
20, 1392, 22
21, 1391, 11
22, 13, 35
23, 16, 13
24, 51, 16
25, 1388, 1277
26, 17, 1388
27, 1278, 2
28, 1180, 17
29, 17, 1279
30, 1280, 4
31, 30, 1281
32, 4, 26
33, 12, 4
34, 37, 1390
35, 1390, 27
36, 1282, 38
37, 9, 1283
38, 3, 1284
39, 24, 3
40, 1285, 1179
41, 1286, 6
42, 8, 1287
43, 31, 8
44, 33, 1178
45, 1392, 1288
46, 11, 51
47, 1289, 11
48, 51, 35
49, 54, 51
50, 35, 32
51, 40, 35
52, 32, 5
53, 5, 25
54, 65, 32
55, 1, 1290
56, 1291, 19
57, 25, 1
58, 57, 25
59, 18, 50
60, 19, 18
61, 62, 19
62, 50, 23
63, 23, 1180
64, 1182, 50
65, 2, 21
66, 21, 48
67, 1180, 2
68, 39, 46
69, 43, 30
70, 30, 12
71, 12, 39
72, 39, 49
73, 26, 20
74, 20, 37
75, 46, 26
76, 37, 61
77, 53, 46
78, 61, 27
79, 27, 9
80, 9, 41
81, 47, 27
82, 38, 29
83, 29, 24
84, 44, 38
85, 24, 36
86, 36, 1179
87, 89, 36
88, 1179, 31
89, 31, 45
90, 60, 1179
91, 6, 7
92, 7, 33
93, 45, 6
94, 33, 42
95, 63, 45
96, 1178, 28
97, 42, 1178
98, 55, 42
99, 28, 34
100, 74, 28
101, 22, 14
102, 14, 1292
103, 34, 22
104, 52, 34
105, 58, 40
106, 40, 86
107, 94, 65
108, 65, 70
109, 69, 62
110, 62, 1182
111, 66, 1180
112, 1180, 59
113, 48, 43
114, 56, 48
115, 49, 67
116, 43, 49
117, 67, 53
118, 53, 73
119, 1181, 67
120, 72, 61
121, 61, 79
122, 41, 44
123, 83, 47
124, 47, 41
125, 44, 64
126, 78, 87
127, 74, 52
128, 52, 75
129, 76, 1293
130, 1294, 54
131, 54, 58
132, 111, 1295
133, 58, 80
134, 70, 57
135, 57, 69
136, 116, 70
137, 69, 92
138, 77, 66
139, 66, 101
140, 129, 1181
141, 79, 83
142, 103, 79
143, 83, 96
144, 104, 60
145, 60, 71
146, 98, 113
147, 86, 114
148, 80, 86
149, 124, 80
150, 92, 93
151, 107, 92
152, 59, 56
153, 105, 59
154, 56, 88
155, 73, 84
156, 95, 73
157, 96, 82
158, 1184, 96
159, 71, 63
160, 63, 91
161, 131, 98
162, 98, 71
163, 75, 85
164, 81, 75
165, 1182, 77
166, 68, 1182
167, 77, 110
168, 97, 129
169, 84, 72
170, 72, 100
171, 128, 84
172, 64, 89
173, 89, 102
174, 82, 64
175, 99, 82
176, 90, 55
177, 55, 78
178, 78, 112
179, 121, 94
180, 94, 135
181, 88, 97
182, 126, 88
183, 97, 145
